z	aF	bF	cF	dF	eF
9.46425	0.149132	-0.00374474	3.60389	0.0773746	17.9378
9.45609	0.149098	-0.00374415	3.59927	0.0773572	17.9126
9.44791	0.149064	-0.00374354	3.59464	0.0773398	17.8875
9.43974	0.14903	-0.00374293	3.59002	0.0773223	17.8623
9.43155	0.148996	-0.00374231	3.5854	0.0773047	17.8372
9.42336	0.148962	-0.00374168	3.58079	0.077287	17.812
9.41517	0.148927	-0.00374104	3.57617	0.0772693	17.7869
9.40697	0.148892	-0.00374039	3.57155	0.0772515	17.7617
9.39876	0.148858	-0.00373973	3.56693	0.0772336	17.7366
9.39055	0.148823	-0.00373906	3.56232	0.0772157	17.7115
9.38233	0.148788	-0.00373839	3.55771	0.0771976	17.6863
9.37411	0.148753	-0.0037377	3.55309	0.0771795	17.6612
9.36588	0.148717	-0.00373701	3.54848	0.0771614	17.6361
9.35765	0.148682	-0.00373631	3.54387	0.0771431	17.611
9.34941	0.148646	-0.0037356	3.53926	0.0771248	17.5858
9.34116	0.14861	-0.00373488	3.53465	0.0771064	17.5607
9.33291	0.148575	-0.00373415	3.53004	0.0770879	17.5356
9.32465	0.148539	-0.00373342	3.52543	0.0770693	17.5105
9.31639	0.148502	-0.00373268	3.52082	0.0770507	17.4854
9.30812	0.148466	-0.00373193	3.51622	0.077032	17.4603
9.29985	0.14843	-0.00373117	3.51161	0.0770132	17.4351
9.29157	0.148393	-0.0037304	3.50701	0.0769944	17.41
9.28328	0.148356	-0.00372963	3.50241	0.0769755	17.3849
9.27499	0.14832	-0.00372885	3.49781	0.0769565	17.3598
9.2667	0.148283	-0.00372806	3.4932	0.0769374	17.3347
9.25839	0.148246	-0.00372727	3.4886	0.0769182	17.3096
9.25008	0.148208	-0.00372646	3.48401	0.076899	17.2845
9.24177	0.148171	-0.00372565	3.47941	0.0768797	17.2594
9.23345	0.148133	-0.00372484	3.47481	0.0768603	17.2343
9.22512	0.148096	-0.00372401	3.47021	0.0768408	17.2092
9.21679	0.148058	-0.00372318	3.46562	0.0768213	17.1841
9.20846	0.14802	-0.00372235	3.46103	0.0768017	17.159
9.20011	0.147982	-0.0037215	3.45643	0.076782	17.1339
9.19176	0.147943	-0.00372065	3.45184	0.0767622	17.1087
9.18341	0.147905	-0.0037198	3.44725	0.0767424	17.0836
9.17505	0.147867	-0.00371894	3.44266	0.0767225	17.0585
9.16668	0.147828	-0.00371807	3.43807	0.0767025	17.0334
9.15831	0.147789	-0.00371719	3.43348	0.0766824	17.0083
9.14993	0.14775	-0.00371632	3.4289	0.0766622	16.9832
9.14154	0.147711	-0.00371543	3.42431	0.076642	16.9581
9.13315	0.147672	-0.00371454	3.41973	0.0766217	16.933
9.12476	0.147632	-0.00371364	3.41514	0.0766013	16.9079
9.11635	0.147593	-0.00371274	3.41056	0.0765808	16.8828
9.10795	0.147553	-0.00371184	3.40598	0.0765603	16.8576
9.09953	0.147513	-0.00371093	3.4014	0.0765397	16.8325
9.09111	0.147473	-0.00371001	3.39682	0.076519	16.8074
9.08268	0.147433	-0.0037091	3.39224	0.0764982	16.7823
9.07425	0.147392	-0.00370817	3.38766	0.0764774	16.7572
9.06581	0.147352	-0.00370724	3.38309	0.0764564	16.732
9.05737	0.147311	-0.00370631	3.37851	0.0764354	16.7069
9.04892	0.147271	-0.00370538	3.37394	0.0764143	16.6818
9.04046	0.14723	-0.00370444	3.36936	0.0763932	16.6566
9.032	0.147189	-0.0037035	3.36479	0.0763719	16.6315
9.02353	0.147147	-0.00370255	3.36022	0.0763506	16.6063
9.01506	0.147106	-0.0037016	3.35565	0.0763292	16.5812
9.00658	0.147064	-0.00370065	3.35108	0.0763077	16.556
8.99809	0.147023	-0.0036997	3.34652	0.0762861	16.5309
8.9896	0.146981	-0.00369875	3.34195	0.0762645	16.5057
8.9811	0.146939	-0.00369779	3.33738	0.0762428	16.4806
8.97259	0.146897	-0.00369683	3.33282	0.076221	16.4554
8.96408	0.146854	-0.00369587	3.32826	0.0761991	16.4302
8.95556	0.146812	-0.0036949	3.3237	0.0761771	16.4051
8.94704	0.146769	-0.00369394	3.31913	0.0761551	16.3799
8.93851	0.146727	-0.00369297	3.31458	0.076133	16.3547
8.92997	0.146684	-0.00369201	3.31002	0.0761108	16.3295
8.92143	0.146641	-0.00369104	3.30546	0.0760885	16.3043
8.91288	0.146597	-0.00369007	3.3009	0.0760662	16.2791
8.90433	0.146554	-0.00368911	3.29635	0.0760438	16.2539
8.89577	0.14651	-0.00368814	3.2918	0.0760213	16.2287
8.8872	0.146467	-0.00368717	3.28724	0.0759987	16.2035
8.87863	0.146423	-0.00368621	3.28269	0.075976	16.1783
8.87005	0.146379	-0.00368524	3.27814	0.0759533	16.153
8.86146	0.146334	-0.00368428	3.27359	0.0759304	16.1278
8.85287	0.14629	-0.00368332	3.26905	0.0759075	16.1026
8.84427	0.146246	-0.00368236	3.2645	0.0758846	16.0773
8.83566	0.146201	-0.0036814	3.25995	0.0758615	16.0521
8.82705	0.146156	-0.00368045	3.25541	0.0758384	16.0268
8.81843	0.146111	-0.00367949	3.25087	0.0758151	16.0015
8.80981	0.146066	-0.00367854	3.24632	0.0757918	15.9763
8.80118	0.146021	-0.0036776	3.24178	0.0757685	15.951
8.79254	0.145975	-0.00367665	3.23725	0.075745	15.9257
8.7839	0.145929	-0.00367571	3.23271	0.0757215	15.9004
8.77525	0.145884	-0.00367478	3.22817	0.0756979	15.8751
8.76659	0.145838	-0.00367385	3.22364	0.0756742	15.8498
8.75793	0.145791	-0.00367292	3.2191	0.0756504	15.8244
8.74926	0.145745	-0.003672	3.21457	0.0756266	15.7991
8.74059	0.145699	-0.00367109	3.21004	0.0756027	15.7738
8.7319	0.145652	-0.00367018	3.20551	0.0755787	15.7484
8.72322	0.145605	-0.00366927	3.20098	0.0755546	15.723
8.71452	0.145558	-0.00366838	3.19645	0.0755304	15.6977
8.70582	0.145511	-0.00366749	3.19192	0.0755062	15.6723
8.69711	0.145464	-0.0036666	3.1874	0.0754819	15.6469
8.6884	0.145416	-0.00366573	3.18287	0.0754575	15.6215
8.67968	0.145369	-0.00366486	3.17835	0.075433	15.5961
8.67095	0.145321	-0.00366401	3.17383	0.0754085	15.5707
8.66221	0.145273	-0.00366316	3.16931	0.0753839	15.5452
8.65347	0.145225	-0.00366232	3.16479	0.0753592	15.5198
8.64473	0.145177	-0.00366149	3.16027	0.0753344	15.4943
8.63597	0.145128	-0.00366067	3.15576	0.0753095	15.4689
8.62721	0.145079	-0.00365986	3.15124	0.0752846	15.4434
8.61844	0.145031	-0.00365906	3.14673	0.0752596	15.4179
8.60967	0.144982	-0.00365827	3.14222	0.0752345	15.3924
8.60089	0.144932	-0.00365749	3.13771	0.0752094	15.3669
8.5921	0.144883	-0.00365673	3.1332	0.0751841	15.3414
8.58331	0.144834	-0.00365598	3.12869	0.0751588	15.3158
8.57451	0.144784	-0.00365524	3.12418	0.0751334	15.2903
8.5657	0.144734	-0.00365452	3.11968	0.075108	15.2647
8.55689	0.144684	-0.00365381	3.11517	0.0750825	15.2391
8.54806	0.144634	-0.00365311	3.11067	0.0750568	15.2135
8.53924	0.144584	-0.00365243	3.10617	0.0750312	15.1879
8.5304	0.144533	-0.00365177	3.10167	0.0750054	15.1623
8.52156	0.144482	-0.00365112	3.09717	0.0749796	15.1367
8.51271	0.144432	-0.00365048	3.09267	0.0749537	15.1111
8.50386	0.144381	-0.00364987	3.08818	0.0749277	15.0854
8.495	0.144329	-0.00364927	3.08368	0.0749016	15.0597
8.48613	0.144278	-0.00364869	3.07919	0.0748755	15.034
8.47725	0.144226	-0.00364813	3.0747	0.0748493	15.0083
8.46837	0.144175	-0.00364759	3.07021	0.0748231	14.9826
8.45948	0.144123	-0.00364706	3.06572	0.0747967	14.9569
8.45059	0.144071	-0.00364656	3.06123	0.0747703	14.9311
8.44168	0.144019	-0.00364608	3.05675	0.0747438	14.9053
8.43278	0.143966	-0.00364562	3.05226	0.0747173	14.8796
8.42386	0.143914	-0.00364518	3.04778	0.0746906	14.8538
8.41494	0.143861	-0.00364477	3.0433	0.0746639	14.828
8.406	0.143808	-0.00364438	3.03882	0.0746372	14.8021
8.39707	0.143755	-0.00364401	3.03434	0.0746103	14.7763
8.38812	0.143701	-0.00364367	3.02986	0.0745834	14.7504
8.37917	0.143648	-0.00364335	3.02539	0.0745565	14.7245
8.37021	0.143594	-0.00364306	3.02091	0.0745294	14.6986
8.36125	0.14354	-0.00364279	3.01644	0.0745023	14.6727
8.35228	0.143486	-0.00364255	3.01197	0.0744751	14.6467
8.3433	0.143432	-0.00364234	3.0075	0.0744479	14.6208
8.33431	0.143378	-0.00364216	3.00303	0.0744206	14.5948
8.32532	0.143323	-0.003642	2.99856	0.0743932	14.5688
8.31632	0.143269	-0.00364188	2.9941	0.0743658	14.5428
8.30731	0.143214	-0.00364179	2.98964	0.0743382	14.5168
8.29829	0.143159	-0.00364173	2.98517	0.0743107	14.4907
8.28927	0.143104	-0.0036417	2.98071	0.074283	14.4646
8.28024	0.143048	-0.0036417	2.97625	0.0742553	14.4385
8.2712	0.142993	-0.00364174	2.9718	0.0742276	14.4124
8.26216	0.142937	-0.00364181	2.96734	0.0741997	14.3863
8.25311	0.142881	-0.00364191	2.96289	0.0741718	14.3601
8.24405	0.142825	-0.00364205	2.95843	0.0741439	14.334
8.23499	0.142768	-0.00364223	2.95398	0.0741159	14.3078
8.22592	0.142712	-0.00364245	2.94953	0.0740878	14.2815
8.21684	0.142655	-0.0036427	2.94508	0.0740596	14.2553
8.20775	0.142598	-0.00364299	2.94064	0.0740314	14.229
8.19865	0.142541	-0.00364333	2.93619	0.0740032	14.2028
8.18955	0.142484	-0.0036437	2.93175	0.0739749	14.1764
8.18044	0.142427	-0.00364411	2.92731	0.0739465	14.1501
8.17133	0.142369	-0.00364457	2.92287	0.0739181	14.1238
8.1622	0.142312	-0.00364507	2.91843	0.0738896	14.0974
8.15307	0.142254	-0.00364562	2.91399	0.073861	14.071
8.14394	0.142196	-0.00364621	2.90955	0.0738324	14.0445
8.13479	0.142137	-0.00364684	2.90512	0.0738038	14.0181
8.12564	0.142079	-0.00364752	2.90069	0.0737751	13.9916
8.11648	0.14202	-0.00364825	2.89626	0.0737463	13.9651
8.10731	0.141961	-0.00364903	2.89183	0.0737175	13.9386
8.09813	0.141903	-0.00364986	2.8874	0.0736887	13.9121
8.08895	0.141843	-0.00365074	2.88298	0.0736597	13.8855
8.07976	0.141784	-0.00365168	2.87855	0.0736308	13.8589
8.07056	0.141725	-0.00365266	2.87413	0.0736018	13.8323
8.06136	0.141665	-0.0036537	2.86971	0.0735727	13.8056
8.05215	0.141605	-0.00365479	2.86529	0.0735436	13.7789
8.04293	0.141545	-0.00365594	2.86087	0.0735144	13.7522
8.0337	0.141485	-0.00365715	2.85646	0.0734852	13.7255
8.02446	0.141424	-0.00365841	2.85204	0.073456	13.6987
8.01522	0.141364	-0.00365974	2.84763	0.0734267	13.6719
8.00597	0.141303	-0.00366112	2.84322	0.0733974	13.6451
7.99671	0.141242	-0.00366257	2.83881	0.073368	13.6183
7.98745	0.141181	-0.00366407	2.8344	0.0733386	13.5914
7.97817	0.14112	-0.00366564	2.83	0.0733091	13.5645
7.96889	0.141058	-0.00366728	2.82559	0.0732796	13.5376
7.9596	0.140997	-0.00366898	2.82119	0.0732501	13.5106
7.95031	0.140935	-0.00367075	2.81679	0.0732205	13.4836
7.941	0.140873	-0.00367259	2.81239	0.0731909	13.4566
7.93169	0.140811	-0.0036745	2.808	0.0731612	13.4296
7.92237	0.140748	-0.00367647	2.8036	0.0731315	13.4025
7.91305	0.140686	-0.00367852	2.79921	0.0731018	13.3754
7.90371	0.140623	-0.00368065	2.79481	0.0730721	13.3482
7.89437	0.14056	-0.00368284	2.79042	0.0730423	13.3211
7.88502	0.140497	-0.00368512	2.78604	0.0730125	13.2939
7.87566	0.140434	-0.00368747	2.78165	0.0729826	13.2666
7.86629	0.140371	-0.0036899	2.77727	0.0729528	13.2394
7.85692	0.140307	-0.0036924	2.77288	0.0729229	13.2121
7.84754	0.140243	-0.00369499	2.7685	0.072893	13.1848
7.83815	0.14018	-0.00369767	2.76412	0.072863	13.1574
7.82875	0.140115	-0.00370042	2.75974	0.072833	13.13
7.81935	0.140051	-0.00370326	2.75537	0.072803	13.1026
7.80993	0.139987	-0.00370619	2.75099	0.072773	13.0751
7.80051	0.139922	-0.00370921	2.74662	0.072743	13.0476
7.79108	0.139857	-0.00371232	2.74225	0.072713	13.0201
7.78164	0.139793	-0.00371551	2.73788	0.0726829	12.9925
7.7722	0.139727	-0.0037188	2.73352	0.0726528	12.9649
7.76275	0.139662	-0.00372219	2.72915	0.0726227	12.9373
7.75328	0.139597	-0.00372567	2.72479	0.0725926	12.9096
7.74381	0.139531	-0.00372924	2.72043	0.0725625	12.8819
7.73434	0.139465	-0.00373292	2.71607	0.0725324	12.8542
7.72485	0.139399	-0.0037367	2.71171	0.0725022	12.8264
7.71536	0.139333	-0.00374057	2.70735	0.0724721	12.7986
7.70586	0.139267	-0.00374456	2.703	0.0724419	12.7708
7.69635	0.139201	-0.00374864	2.69865	0.0724118	12.7429
7.68683	0.139134	-0.00375284	2.6943	0.0723816	12.715
7.6773	0.139067	-0.00375714	2.68995	0.0723515	12.687
7.66777	0.139	-0.00376155	2.6856	0.0723213	12.659
7.65823	0.138933	-0.00376608	2.68126	0.0722911	12.631
7.64867	0.138866	-0.00377071	2.67692	0.072261	12.6029
7.63912	0.138798	-0.00377547	2.67257	0.0722308	12.5748
7.62955	0.138731	-0.00378034	2.66824	0.0722007	12.5467
7.61997	0.138663	-0.00378533	2.6639	0.0721706	12.5185
7.61039	0.138595	-0.00379044	2.65956	0.0721405	12.4903
7.6008	0.138527	-0.00379567	2.65523	0.0721104	12.462
7.5912	0.138459	-0.00380103	2.6509	0.0720803	12.4337
7.58159	0.138391	-0.00380651	2.64657	0.0720502	12.4054
