A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-78.87	-3.11071e-36	123.651	103.321	-3.13005e-36	-1.50466	-2.24113	-3.14976e-36	-5.80102e-05	0.0205436	6.7853e-05
-78.86	-3.14217e-36	123.636	103.299	-3.16171e-36	-1.50466	-2.24092	-3.18162e-36	-5.80247e-05	0.0205443	6.78205e-05
-78.85	-3.17395e-36	123.621	103.276	-3.19369e-36	-1.50466	-2.24072	-3.2138e-36	-5.80392e-05	0.020545	6.79827e-05
-78.84	-3.20604e-36	123.605	103.254	-3.22599e-36	-1.50466	-2.24051	-3.24631e-36	-5.80536e-05	0.0205457	6.81282e-05
-78.83	-3.23847e-36	123.59	103.232	-3.25862e-36	-1.50466	-2.24031	-3.27914e-36	-5.80681e-05	0.0205463	6.81222e-05
-78.82	-3.27122e-36	123.575	103.209	-3.29157e-36	-1.50466	-2.2401	-3.31231e-36	-5.80826e-05	0.020547	6.79461e-05
-78.81	-3.3043e-36	123.56	103.187	-3.32486e-36	-1.50466	-2.2399	-3.34581e-36	-5.80971e-05	0.0205477	6.78705e-05
-78.8	-3.33772e-36	123.545	103.164	-3.35849e-36	-1.50466	-2.23969	-3.37965e-36	-5.81116e-05	0.0205484	6.79919e-05
-78.79	-3.37147e-36	123.53	103.142	-3.39246e-36	-1.50466	-2.23949	-3.41384e-36	-5.81262e-05	0.0205491	6.8158e-05
-78.78	-3.40557e-36	123.515	103.12	-3.42677e-36	-1.50466	-2.23928	-3.44837e-36	-5.81407e-05	0.0205497	6.82056e-05
-78.77	-3.44001e-36	123.5	103.097	-3.46143e-36	-1.50466	-2.23907	-3.48325e-36	-5.81552e-05	0.0205504	6.80502e-05
-78.76	-3.4748e-36	123.485	103.075	-3.49643e-36	-1.50466	-2.23887	-3.51848e-36	-5.81697e-05	0.0205511	6.79154e-05
-78.75	-3.50994e-36	123.47	103.053	-3.5318e-36	-1.50466	-2.23866	-3.55407e-36	-5.81843e-05	0.0205518	6.79953e-05
-78.74	-3.54543e-36	123.455	103.03	-3.56752e-36	-1.50466	-2.23846	-3.59001e-36	-5.81988e-05	0.0205525	6.81739e-05
-78.73	-3.58129e-36	123.44	103.008	-3.6036e-36	-1.50467	-2.23825	-3.62633e-36	-5.82134e-05	0.0205531	6.82644e-05
-78.72	-3.61751e-36	123.425	102.985	-3.64004e-36	-1.50467	-2.23805	-3.66301e-36	-5.82279e-05	0.0205538	6.81532e-05
-78.71	-3.65409e-36	123.41	102.963	-3.67686e-36	-1.50467	-2.23784	-3.70006e-36	-5.82425e-05	0.0205545	6.79716e-05
-78.7	-3.69104e-36	123.395	102.941	-3.71405e-36	-1.50467	-2.23764	-3.73748e-36	-5.82571e-05	0.0205552	6.80444e-05
-78.69	-3.72837e-36	123.38	102.918	-3.75161e-36	-1.50467	-2.23743	-3.77528e-36	-5.82716e-05	0.0205559	6.81828e-05
-78.68	-3.76608e-36	123.365	102.896	-3.78955e-36	-1.50467	-2.23722	-3.81347e-36	-5.82862e-05	0.0205566	6.83091e-05
-78.67	-3.80416e-36	123.35	102.873	-3.82788e-36	-1.50467	-2.23702	-3.85204e-36	-5.83008e-05	0.0205572	6.82635e-05
-78.66	-3.84264e-36	123.335	102.851	-3.8666e-36	-1.50467	-2.23681	-3.891e-36	-5.83154e-05	0.0205579	6.80848e-05
-78.65	-3.8815e-36	123.32	102.829	-3.9057e-36	-1.50467	-2.23661	-3.93036e-36	-5.833e-05	0.0205586	6.80621e-05
-78.64	-3.92075e-36	123.305	102.806	-3.9452e-36	-1.50467	-2.2364	-3.97012e-36	-5.83446e-05	0.0205593	6.82071e-05
-78.63	-3.9604e-36	123.29	102.784	-3.98511e-36	-1.50467	-2.2362	-4.01027e-36	-5.83592e-05	0.02056	6.83489e-05
-78.62	-4.00046e-36	123.274	102.762	-4.02541e-36	-1.50467	-2.23599	-4.05083e-36	-5.83738e-05	0.0205607	6.83504e-05
