A	q	Phi	tau	dq/dA	dPhi/dA	dtau/dA	d2q/dA2	d2Phi/dA2	d2tau/dA2	d3tau/dA3
-79.11	-2.44332e-36	124.012	102.429	-2.45846e-36	-1.50464	-2.20994	-2.4739e-36	-5.76632e-05	0.0200858	6.70904e-05
-79.1	-2.46802e-36	123.997	102.407	-2.48333e-36	-1.50464	-2.20974	-2.49892e-36	-5.76776e-05	0.0200865	6.71851e-05
-79.09	-2.49298e-36	123.982	102.385	-2.50844e-36	-1.50464	-2.20953	-2.52419e-36	-5.76919e-05	0.0200871	6.73213e-05
-79.08	-2.51819e-36	123.967	102.363	-2.53381e-36	-1.50464	-2.20933	-2.54972e-36	-5.77063e-05	0.0200878	6.74223e-05
-79.07	-2.54366e-36	123.952	102.341	-2.55944e-36	-1.50465	-2.20913	-2.57551e-36	-5.77206e-05	0.0200885	6.74375e-05
-79.06	-2.56938e-36	123.937	102.318	-2.58532e-36	-1.50465	-2.20893	-2.60156e-36	-5.7735e-05	0.0200892	6.73746e-05
-79.05	-2.59537e-36	123.922	102.296	-2.61147e-36	-1.50465	-2.20873	-2.62787e-36	-5.77494e-05	0.0200898	6.72875e-05
-79.04	-2.62161e-36	123.907	102.274	-2.63788e-36	-1.50465	-2.20853	-2.65445e-36	-5.77638e-05	0.0200905	6.71974e-05
-79.03	-2.64813e-36	123.892	102.252	-2.66456e-36	-1.50465	-2.20833	-2.6813e-36	-5.77781e-05	0.0200912	6.71932e-05
-79.02	-2.67491e-36	123.877	102.23	-2.69151e-36	-1.50465	-2.20813	-2.70842e-36	-5.77925e-05	0.0200919	6.72327e-05
-79.01	-2.70196e-36	123.862	102.208	-2.71873e-36	-1.50465	-2.20793	-2.73582e-36	-5.78069e-05	0.0200925	6.73836e-05
-79	-2.72928e-36	123.847	102.186	-2.74623e-36	-1.50465	-2.20773	-2.76349e-36	-5.78213e-05	0.0200932	6.74982e-05
-78.99	-2.75688e-36	123.831	102.164	-2.774e-36	-1.50465	-2.20753	-2.79144e-36	-5.78357e-05	0.0200939	6.75445e-05
