W(GeV)	WErrorp	WErrorm	sigma(mb)	Errorp	Errorm
8.212384768550965	0.0	0.0	38.49	0.19520164343570476	0.19520164343570476
8.212384768550965	0.0	0.0	38.46	0.16176138476162968	0.16176138476162968
8.76472004721975	0.0	0.0	38.5	0.1952331938989884	0.1952331938989884
9.028239269672099	0.0	0.0	38.42	0.09	0.09
9.28428919560808	0.0	0.0	38.45	0.1950754725740784	0.1950754725740784
9.776307709019632	0.0	0.0	38.46	0.19510701063775232	0.19510701063775232
9.776307709019632	0.0	0.0	38.2	0.16077263448734055	0.16077263448734055
9.776307709019632	0.0	0.0	38.14	0.2031415516333377	0.2031415516333377
9.776307709019632	0.0	0.0	38.42	0.1891688864480626	0.1891688864480626
9.776307709019632	0.0	0.0	37.74	1.18	1.18
9.985123782284214	0.0	0.0	37.87	0.12	0.12
10.244739735520179	0.0	0.0	38.43	0.19501240575922346	0.19501240575922346
10.692681705456692	0.0	0.0	38.44	0.19504393761406685	0.19504393761406685
11.122606896082079	0.0	0.0	38.65	0.21411306008742198	0.21411306008742198
11.454939904919245	0.0	0.0	36.68	0.53	0.53
11.536527960370002	0.0	0.0	38.28	0.1582584417969544	0.1582584417969544
11.777423331885082	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
13.623791187366313	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
13.761102454207487	0.06799220337182987	0.06832975790391949	38.7	1.7429632813114568	1.7429632813114568
13.761102454207487	0.0	0.0	38.46	0.1589551685224485	0.1589551685224485
13.761102454207487	0.0	0.0	38.39	0.20110893192496448	0.20110893192496448
13.896754259300096	0.0	0.0	38.9	0.8	0.8
15.062754241579395	0.0	0.0	38.58	0.15941976790850002	0.15941976790850002
15.186562495918153	0.0	0.0	37.0	1.1154483403546755	1.1154483403546755
16.659281926304363	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
16.6594508368527	0.0	0.0	38.47	0.58	0.58
16.82751288527292	0.0	0.0	38.69	0.1598457306280027	0.1598457306280027
