j	t1(j)	t2(j)	t3(j)	t4(j)
0.69	-286854	-3045.35	-59.8336	0.426141
0.7	-270607	-2788.51	-53.7065	0.66263
0.71	-254789	-2546.78	-48.0517	0.881454
0.72	-239411	-2319.76	-42.8455	1.0843
0.73	-224483	-2107.07	-38.0645	1.27281
0.74	-210015	-1908.29	-33.6854	1.44853
0.75	-196014	-1722.98	-29.6853	1.61299
0.76	-182489	-1550.7	-26.0417	1.76759
0.77	-169449	-1390.99	-22.7327	1.91371
0.78	-156901	-1243.36	-19.7366	2.05262
0.79	-144852	-1107.33	-17.0325	2.18557
0.8	-133307	-982.391	-14.6	2.31372
0.81	-122271	-868.031	-12.4195	2.43821
0.82	-111750	-763.732	-10.4718	2.56014
0.83	-101747	-668.971	-8.7388	2.68056
0.84	-92264	-583.22	-7.20289	2.80046
0.85	-83302.4	-505.947	-5.84735	2.92079
0.86	-74862.5	-436.625	-4.6562	3.04237
0.87	-66943.1	-374.728	-3.61427	3.16575
0.88	-59541.8	-319.733	-2.70708	3.29107
0.89	-52654.4	-271.128	-1.92089	3.41734
0.9	-46275.4	-228.408	-1.24257	3.54054
0.91	-40397.3	-191.082	-0.659562	3.64564
0.92	-35011	-158.67	-0.159885	3.69976
0.93	-30105.5	-130.713	0.267854	3.70845
0.94	-25667.7	-106.766	0.634378	3.70114
0.95	-21682.3	-86.4068	0.949615	3.68854
0.96	-18132.3	-69.2344	1.22259	3.67378
0.97	-14998.1	-54.8716	1.46137	3.65798
0.98	-12258.3	-42.9657	1.67305	3.64165
0.99	-9889.33	-33.1902	1.86388	3.62505
1	-7865.67	-25.2447	2.03935	3.60837
1.01	-6160.1	-18.8563	2.20444	3.59175
1.02	-4743.92	-13.7784	2.36375	3.57536
1.03	-3587.32	-9.79159	2.52164	3.55945
1.04	-2659.88	-6.70227	2.68226	3.54443
1.05	-1931.05	-4.34179	2.84907	3.53118
1.06	-1370.87	-2.56483	3.0233	3.52202
1.07	-950.569	-1.24706	3.19838	3.52496
1.08	-643.302	-0.282502	3.33834	3.57362
1.09	-424.77	0.418658	3.38966	3.71409
1.1	-273.729	0.930684	3.39364	3.89256
1.11	-172.312	1.31197	3.38511	4.05648
1.12	-106.114	1.60578	3.37256	4.17575
1.13	-64.033	1.84276	3.35848	4.2397
1.14	-37.901	2.04439	3.34391	4.26559
1.15	-21.9824	2.22614	3.3295	4.27304
1.16	-12.4227	2.39964	3.31596	4.27219
1.17	-6.73369	2.57349	3.30442	4.26772
1.18	-3.36223	2.75166	3.29751	4.26201
1.19	-1.36345	2.92734	3.30287	4.25665
1.2	-0.170444	3.06859	3.3448	4.25298
1.21	0.554943	3.13302	3.45142	4.25242
1.22	1.01157	3.14587	3.58382	4.25664
1.23	1.31298	3.14128	3.70022	4.26735
1.24	1.52242	3.13047	3.78818	4.28565
1.25	1.67507	3.11694	3.84771	4.31089
1.26	1.79096	3.10203	3.88384	4.3404
1.27	1.8819	3.08635	3.90296	4.37069
1.28	1.95514	3.07022	3.91062	4.39891
1.29	2.01536	3.05383	3.91073	4.42343
1.3	2.06563	3.0373	3.90585	4.44357
1.31	2.10808	3.02072	3.89761	4.45928
1.32	2.14423	3.00414	3.88703	4.47081
1.33	2.17516	2.98762	3.8748	4.47856
1.34	2.20168	2.97118	3.86136	4.48297
1.35	2.22441	2.95488	3.84702	4.48445
1.36	2.24383	2.93873	3.83201	4.48341
1.37	2.2603	2.92277	3.81648	4.48019
1.38	2.27412	2.90703	3.80055	4.47511
1.39	2.28552	2.89152	3.78431	4.46843
1.4	2.29468	2.87628	3.76784	4.46038
1.41	2.30178	2.86132	3.75118	4.45115
1.42	2.30693	2.84667	3.73438	4.4409
1.43	2.31024	2.83233	3.71747	4.42978
1.44	2.31183	2.81832	3.70048	4.4179
1.45	2.31175	2.80465	3.68345	4.40537
1.46	2.31011	2.79131	3.66638	4.39228
1.47	2.30696	2.77832	3.64929	4.37868
1.48	2.30239	2.76565	3.63221	4.36466
1.49	2.29645	2.75329	3.61513	4.35027
1.5	2.28921	2.74123	3.59808	4.33554
1.51	2.28075	2.72944	3.58106	4.32053
1.52	2.27112	2.71789	3.56407	4.30527
1.53	2.2604	2.70655	3.54713	4.28979
1.54	2.24865	2.69539	3.53024	4.27411
1.55	2.23594	2.68436	3.51341	4.25826
1.56	2.22232	2.67344	3.49663	4.24227
1.57	2.20787	2.66259	3.47992	4.22614
1.58	2.19263	2.65178	3.46327	4.2099
1.59	2.17666	2.64096	3.44669	4.19357
1.6	2.16002	2.63012	3.43017	4.17714
1.61	2.14274	2.61922	3.41372	4.16064
1.62	2.12487	2.60824	3.39734	4.14408
1.63	2.10646	2.59716	3.38103	4.12745
1.64	2.08754	2.58595	3.36479	4.11079
1.65	2.06814	2.5746	3.3486	4.09408
1.66	2.0483	2.5631	3.33249	4.07733
1.67	2.02804	2.55143	3.31643	4.06056
1.68	2.00739	2.53958	3.30043	4.04376
1.69	1.98636	2.52754	3.28449	4.02695
1.7	1.96499	2.51531	3.2686	4.01012
1.71	1.94329	2.50288	3.25276	3.99328
1.72	1.92127	2.49025	3.23697	3.97643
1.73	1.89896	2.47742	3.22122	3.95957
