u	GluePotFac	MesonPotFac
0.00657078	5.05559	1.09392
0.00662316	5.06045	1.09366
0.00667576	5.0653	1.09341
0.00672856	5.07015	1.09315
0.00678157	5.07499	1.0929
0.0068348	5.07983	1.09265
0.00688823	5.08466	1.0924
0.00694187	5.08949	1.09215
0.00699573	5.09431	1.0919
0.00704979	5.09912	1.09165
0.00710407	5.10393	1.0914
0.00715855	5.10874	1.09116
0.00721325	5.11354	1.09091
0.00726815	5.11833	1.09066
0.00732327	5.12312	1.09042
0.0073786	5.12791	1.09018
0.00743413	5.13269	1.08993
0.00748988	5.13746	1.08969
0.00754584	5.14223	1.08945
0.00760201	5.14699	1.08921
0.00765839	5.15175	1.08897
0.00771498	5.1565	1.08873
0.00777178	5.16125	1.08849
0.00782879	5.166	1.08825
0.00788601	5.17073	1.08802
0.00794344	5.17547	1.08778
0.00800108	5.1802	1.08754
0.00805893	5.18492	1.08731
0.008117	5.18964	1.08707
0.00817527	5.19435	1.08684
0.00823375	5.19906	1.08661
0.00829245	5.20377	1.08637
0.00835136	5.20847	1.08614
0.00841047	5.21316	1.08591
0.0084698	5.21785	1.08568
0.00852934	5.22254	1.08545
0.00858908	5.22722	1.08522
0.00864904	5.2319	1.08499
0.00870921	5.23657	1.08476
0.00876959	5.24124	1.08454
0.00883018	5.2459	1.08431
0.00889099	5.25056	1.08408
0.008952	5.25521	1.08386
0.00901322	5.25986	1.08363
0.00907465	5.2645	1.08341
0.0091363	5.26914	1.08319
0.00919816	5.27378	1.08296
0.00926022	5.27841	1.08274
0.0093225	5.28303	1.08252
0.00938499	5.28766	1.0823
0.00944769	5.29227	1.08207
0.0095106	5.29689	1.08185
0.00957372	5.3015	1.08163
0.00963705	5.3061	1.08141
0.00970059	5.3107	1.0812
0.00976434	5.3153	1.08098
0.00982831	5.31989	1.08076
0.00989248	5.32447	1.08054
0.00995687	5.32906	1.08033
0.0100215	5.33363	1.08011
0.0100863	5.33821	1.07989
0.0101513	5.34278	1.07968
0.0102165	5.34734	1.07946
0.010282	5.35191	1.07925
0.0103476	5.35646	1.07903
0.0104135	5.36102	1.07882
0.0104796	5.36556	1.07861
0.0105458	5.37011	1.0784
0.0106123	5.37465	1.07818
0.010679	5.37918	1.07797
0.010746	5.38372	1.07776
0.0108131	5.38824	1.07755
0.0108804	5.39277	1.07734
0.010948	5.39729	1.07713
0.0110158	5.4018	1.07692
0.0110837	5.40631	1.07671
0.0111519	5.41082	1.0765
0.0112203	5.41532	1.0763
0.0112889	5.41982	1.07609
0.0113577	5.42432	1.07588
0.0114268	5.42881	1.07567
0.011496	5.4333	1.07547
0.0115655	5.43778	1.07526
0.0116351	5.44226	1.07506
0.011705	5.44673	1.07485
0.0117751	5.4512	1.07465
0.0118454	5.45567	1.07444
0.0119159	5.46013	1.07424
0.0119866	5.46459	1.07403
0.0120576	5.46904	1.07383
0.0121287	5.47349	1.07363
0.0122001	5.47794	1.07342
0.0122716	5.48238	1.07322
0.0123434	5.48682	1.07302
0.0124154	5.49126	1.07282
0.0124876	5.49569	1.07262
0.01256	5.50011	1.07242
0.0126326	5.50454	1.07222
0.0127055	5.50895	1.07202
0.0127785	5.51337	1.07182
0.0128518	5.51778	1.07162
0.0129253	5.52219	1.07142
0.0129989	5.52659	1.07122
0.0130728	5.53099	1.07102
0.0131469	5.53538	1.07082
0.0132213	5.53977	1.07062
0.0132958	5.54416	1.07042
0.0133705	5.54854	1.07023
0.0134455	5.55292	1.07003
0.0135207	5.5573	1.06983
0.013596	5.56167	1.06964
0.0136716	5.56604	1.06944
0.0137474	5.5704	1.06924
0.0138234	5.57476	1.06905
0.0138997	5.57912	1.06885
0.0139761	5.58347	1.06866
0.0140527	5.58782	1.06846
0.0141296	5.59216	1.06827
0.0142067	5.5965	1.06807
0.0142839	5.60084	1.06788
0.0143614	5.60517	1.06769
0.0144391	5.6095	1.06749
0.0145171	5.61382	1.0673
0.0145952	5.61814	1.06711
0.0146735	5.62246	1.06691
0.0147521	5.62677	1.06672
0.0148309	5.63108	1.06653
0.0149098	5.63538	1.06634
0.014989	5.63969	1.06614
0.0150684	5.64398	1.06595
0.015148	5.64828	1.06576
0.0152279	5.65256	1.06557
0.0153079	5.65685	1.06538
0.0153881	5.66113	1.06519
0.0154686	5.66541	1.065
0.0155493	5.66968	1.06481
0.0156302	5.67395	1.06461
0.0157113	5.67822	1.06442
0.0157926	5.68248	1.06423
0.0158741	5.68674	1.06404
0.0159558	5.69099	1.06386
0.0160378	5.69524	1.06367
0.0161199	5.69949	1.06348
0.0162023	5.70373	1.06329
0.0162849	5.70797	1.0631
0.0163677	5.7122	1.06291
0.0164507	5.71643	1.06272
0.0165339	5.72066	1.06253
0.0166173	5.72488	1.06234
0.016701	5.7291	1.06216
0.0167848	5.73331	1.06197
0.0168689	5.73752	1.06178
0.0169532	5.74173	1.06159
0.0170377	5.74593	1.06141
0.0171224	5.75013	1.06122
0.0172073	5.75432	1.06103
0.0172924	5.75851	1.06084
0.0173778	5.7627	1.06066
0.0174633	5.76688	1.06047
0.0175491	5.77106	1.06028
0.0176351	5.77523	1.0601
0.0177213	5.7794	1.05991
0.0178077	5.78357	1.05972
0.0178943	5.78773	1.05954
0.0179811	5.79189	1.05935
0.0180682	5.79604	1.05917
0.0181554	5.80019	1.05898
0.0182429	5.80434	1.05879
0.0183306	5.80848	1.05861
0.0184185	5.81262	1.05842
0.0185066	5.81675	1.05824
0.0185949	5.82088	1.05805
0.0186834	5.82501	1.05787
0.0187722	5.82913	1.05768
0.0188611	5.83325	1.0575
0.0189503	5.83736	1.05731
0.0190397	5.84147	1.05713
0.0191293	5.84557	1.05694
0.0192191	5.84967	1.05676
0.0193091	5.85377	1.05657
0.0193994	5.85786	1.05639
0.0194898	5.86195	1.0562
0.0195805	5.86603	1.05602
0.0196713	5.87011	1.05583
0.0197624	5.87419	1.05565
0.0198537	5.87826	1.05546
0.0199452	5.88233	1.05528
0.020037	5.88639	1.05509
0.0201289	5.89045	1.05491
0.020221	5.8945	1.05473
0.0203134	5.89855	1.05454
0.020406	5.9026	1.05436
0.0204988	5.90664	1.05417
0.0205918	5.91068	1.05399
0.020685	5.91471	1.0538
0.0207784	5.91874	1.05362
0.0208721	5.92277	1.05344
0.0209659	5.92679	1.05325
0.02106	5.9308	1.05307
0.0211543	5.93481	1.05288
0.0212488	5.93882	1.0527
0.0213435	5.94282	1.05252
0.0214384	5.94682	1.05233
0.0215335	5.95082	1.05215
0.0216289	5.9548	1.05196
0.0217244	5.95879	1.05178
0.0218202	5.96277	1.0516
0.0219162	5.96675	1.05141
0.0220124	5.97072	1.05123
0.0221088	5.97469	1.05104
0.0222054	5.97865	1.05086
0.0223023	5.98261	1.05068
0.0223993	5.98656	1.05049
0.0224966	5.99051	1.05031
0.022594	5.99446	1.05012
0.0226917	5.9984	1.04994
0.0227896	6.00233	1.04975
0.0228878	6.00626	1.04957
0.0229861	6.01019	1.04939
0.0230846	6.01411	1.0492
0.0231834	6.01803	1.04902
0.0232824	6.02194	1.04883
0.0233816	6.02585	1.04865
0.023481	6.02976	1.04846
0.0235806	6.03366	1.04828
0.0236804	6.03755	1.04809
0.0237805	6.04144	1.04791
0.0238807	6.04533	1.04773
0.0239812	6.04921	1.04754
0.0240819	6.05308	1.04736
0.0241828	6.05695	1.04717
0.0242839	6.06082	1.04699
0.0243852	6.06468	1.0468
0.0244867	6.06854	1.04662
0.0245885	6.07239	1.04643
0.0246904	6.07624	1.04625
0.0247926	6.08008	1.04606
0.024895	6.08392	1.04587
0.0249976	6.08775	1.04569
0.0251004	6.09158	1.0455
0.0252035	6.0954	1.04532
0.0253067	6.09922	1.04513
0.0254102	6.10303	1.04495
0.0255139	6.10684	1.04476
0.0256177	6.11065	1.04457
0.0257218	6.11445	1.04439
0.0258262	6.11824	1.0442
0.0259307	6.12203	1.04402
0.0260354	6.12581	1.04383
0.0261404	6.12959	1.04364
0.0262456	6.13336	1.04346
0.026351	6.13713	1.04327
0.0264566	6.1409	1.04308
0.0265624	6.14466	1.0429
0.0266684	6.14841	1.04271
0.0267746	6.15216	1.04252
0.0268811	6.1559	1.04233
0.0269878	6.15964	1.04215
0.0270947	6.16337	1.04196
0.0272018	6.1671	1.04177
0.0273091	6.17082	1.04158
0.0274166	6.17454	1.04139
0.0275244	6.17825	1.04121
0.0276323	6.18196	1.04102
0.0277405	6.18566	1.04083
0.0278489	6.18936	1.04064
0.0279575	6.19305	1.04045
0.0280663	6.19674	1.04026
0.0281753	6.20042	1.04007
0.0282846	6.2041	1.03988
0.028394	6.20777	1.0397
0.0285037	6.21143	1.03951
0.0286136	6.21509	1.03932
0.0287237	6.21874	1.03913
0.028834	6.22239	1.03894
0.0289445	6.22604	1.03875
0.0290553	6.22967	1.03856
0.0291662	6.23331	1.03836
0.0292774	6.23693	1.03817
0.0293888	6.24056	1.03798
0.0295004	6.24417	1.03779
0.0296122	6.24778	1.0376
0.0297242	6.25139	1.03741
0.0298365	6.25499	1.03722
0.029949	6.25858	1.03703
0.0300616	6.26217	1.03683
0.0301745	6.26575	1.03664
0.0302876	6.26933	1.03645
0.030401	6.2729	1.03626
0.0305145	6.27647	1.03606
0.0306282	6.28003	1.03587
0.0307422	6.28358	1.03568
0.0308564	6.28713	1.03548
0.0309708	6.29067	1.03529
0.0310854	6.29421	1.0351
0.0312002	6.29774	1.0349
0.0313153	6.30127	1.03471
0.0314305	6.30479	1.03451
0.031546	6.3083	1.03432
0.0316617	6.31181	1.03413
0.0317776	6.31531	1.03393
0.0318937	6.3188	1.03373
0.03201	6.3223	1.03354
0.0321266	6.32578	1.03334
0.0322433	6.32926	1.03315
0.0323603	6.33273	1.03295
0.0324775	6.3362	1.03275
0.0325949	6.33966	1.03256
0.0327125	6.34311	1.03236
0.0328303	6.34656	1.03216
0.0329484	6.35	1.03197
0.0330667	6.35344	1.03177
0.0331852	6.35687	1.03157
0.0333038	6.36029	1.03137
0.0334228	6.36371	1.03117
0.0335419	6.36712	1.03098
0.0336612	6.37053	1.03078
0.0337808	6.37392	1.03058
0.0339006	6.37732	1.03038
0.0340206	6.3807	1.03018
0.0341408	6.38408	1.02998
0.0342612	6.38746	1.02978
0.0343818	6.39083	1.02958
0.0345027	6.39419	1.02938
0.0346237	6.39754	1.02918
0.034745	6.40089	1.02897
0.0348665	6.40423	1.02877
0.0349882	6.40757	1.02857
0.0351102	6.4109	1.02837
0.0352323	6.41422	1.02817
0.0353547	6.41754	1.02796
0.0354772	6.42085	1.02776
0.0356	6.42415	1.02756
0.035723	6.42745	1.02735
0.0358463	6.43074	1.02715
0.0359697	6.43402	1.02695
0.0360934	6.4373	1.02674
0.0362172	6.44057	1.02654
0.0363413	6.44383	1.02633
0.0364656	6.44709	1.02613
0.0365901	6.45034	1.02592
0.0367149	6.45358	1.02572
0.0368398	6.45682	1.02551
0.036965	6.46005	1.0253
0.0370904	6.46327	1.0251
0.037216	6.46649	1.02489
0.0373418	6.4697	1.02468
0.0374678	6.4729	1.02447
0.0375941	6.4761	1.02426
0.0377205	6.47928	1.02406
0.0378472	6.48247	1.02385
0.0379741	6.48564	1.02364
0.0381012	6.48881	1.02343
0.0382285	6.49197	1.02322
0.0383561	6.49512	1.02301
0.0384838	6.49827	1.0228
0.0386118	6.50141	1.02259
0.03874	6.50454	1.02238
0.0388684	6.50767	1.02217
0.038997	6.51079	1.02195
0.0391259	6.5139	1.02174
0.0392549	6.517	1.02153
0.0393842	6.5201	1.02132
0.0395137	6.52319	1.0211
0.0396434	6.52627	1.02089
0.0397733	6.52935	1.02068
0.0399035	6.53242	1.02046
0.0400338	6.53548	1.02025
0.0401644	6.53853	1.02003
0.0402952	6.54157	1.01982
0.0404262	6.54461	1.0196
0.0405574	6.54764	1.01939
0.0406889	6.55067	1.01917
0.0408205	6.55368	1.01895
0.0409524	6.55669	1.01874
0.0410845	6.55969	1.01852
0.0412168	6.56269	1.0183
0.0413493	6.56567	1.01808
0.041482	6.56865	1.01786
0.041615	6.57162	1.01765
0.0417482	6.57459	1.01743
0.0418816	6.57754	1.01721
0.0420152	6.58049	1.01699
0.042149	6.58343	1.01677
0.042283	6.58636	1.01654
0.0424173	6.58929	1.01632
0.0425518	6.5922	1.0161
0.0426864	6.59511	1.01588
0.0428214	6.59801	1.01566
0.0429565	6.60091	1.01543
0.0430918	6.60379	1.01521
0.0432274	6.60667	1.01499
0.0433631	6.60954	1.01476
0.0434991	6.6124	1.01454
0.0436354	6.61526	1.01431
0.0437718	6.6181	1.01409
0.0439084	6.62094	1.01386
0.0440453	6.62377	1.01364
0.0441824	6.62659	1.01341
0.0443197	6.62941	1.01318
0.0444572	6.63221	1.01296
0.0445949	6.63501	1.01273
0.0447328	6.6378	1.0125
0.044871	6.64058	1.01227
0.0450094	6.64335	1.01204
0.045148	6.64612	1.01182
0.0452868	6.64888	1.01159
0.0454258	6.65162	1.01136
0.0455651	6.65436	1.01112
0.0457046	6.65709	1.01089
0.0458442	6.65982	1.01066
0.0459841	6.66253	1.01043
0.0461243	6.66524	1.0102
0.0462646	6.66794	1.00996
0.0464052	6.67063	1.00973
0.0465459	6.67331	1.0095
0.0466869	6.67598	1.00926
0.0468281	6.67864	1.00903
0.0469696	6.6813	1.00879
0.0471112	6.68395	1.00856
0.0472531	6.68658	1.00832
0.0473952	6.68921	1.00809
0.0475374	6.69183	1.00785
0.04768	6.69445	1.00761
0.0478227	6.69705	1.00737
0.0479656	6.69965	1.00714
0.0481088	6.70223	1.0069
0.0482522	6.70481	1.00666
0.0483958	6.70738	1.00642
0.0485396	6.70994	1.00618
0.0486837	6.71249	1.00594
0.0488279	6.71503	1.0057
0.0489724	6.71756	1.00546
0.0491171	6.72009	1.00521
0.049262	6.7226	1.00497
0.0494071	6.72511	1.00473
0.0495525	6.7276	1.00449
0.0496981	6.73009	1.00424
0.0498438	6.73257	1.004
0.0499898	6.73504	1.00375
0.0501361	6.7375	1.00351
0.0502825	6.73995	1.00326
0.0504292	6.7424	1.00302
0.050576	6.74483	1.00277
0.0507231	6.74725	1.00252
0.0508705	6.74967	1.00227
0.051018	6.75207	1.00203
0.0511657	6.75447	1.00178
0.0513137	6.75686	1.00153
0.0514619	6.75923	1.00128
0.0516103	6.7616	1.00103
0.0517589	6.76396	1.00078
0.0519078	6.76631	1.00053
0.0520568	6.76865	1.00027
0.0522061	6.77098	1.00002
0.0523556	6.7733	0.999769
0.0525053	6.77561	0.999516
0.0526552	6.77791	0.999262
0.0528054	6.78021	0.999008
0.0529558	6.78249	0.998753
0.0531064	6.78476	0.998498
0.0532572	6.78702	0.998242
0.0534082	6.78928	0.997986
0.0535594	6.79152	0.997729
0.0537109	6.79376	0.997472
0.0538626	6.79598	0.997214
0.0540145	6.79819	0.996955
0.0541666	6.8004	0.996696
0.054319	6.80259	0.996437
0.0544715	6.80478	0.996177
0.0546243	6.80695	0.995916
0.0547773	6.80912	0.995655
0.0549305	6.81127	0.995394
0.055084	6.81342	0.995132
0.0552376	6.81556	0.994869
0.0553915	6.81768	0.994606
0.0555456	6.8198	0.994342
0.0556999	6.8219	0.994078
0.0558544	6.824	0.993813
0.0560092	6.82608	0.993548
0.0561642	6.82816	0.993282
0.0563193	6.83022	0.993015
0.0564747	6.83228	0.992748
0.0566304	6.83432	0.992481
0.0567862	6.83635	0.992212
0.0569423	6.83838	0.991944
0.0570986	6.84039	0.991675
0.0572551	6.84239	0.991405
0.0574118	6.84439	0.991134
0.0575688	6.84637	0.990864
0.0577259	6.84834	0.990592
0.0578833	6.8503	0.99032
0.0580409	6.85225	0.990047
0.0581987	6.85419	0.989774
0.0583568	6.85612	0.989501
0.058515	6.85804	0.989226
0.0586735	6.85995	0.988951
0.0588322	6.86185	0.988676
0.0589911	6.86374	0.9884
0.0591503	6.86562	0.988123
0.0593096	6.86748	0.987846
0.0594692	6.86934	0.987568
0.059629	6.87118	0.98729
0.059789	6.87302	0.987011
0.0599493	6.87484	0.986732
0.0601097	6.87665	0.986452
0.0602704	6.87846	0.986171
0.0604313	6.88025	0.98589
0.0605924	6.88203	0.985608
0.0607538	6.8838	0.985325
0.0609153	6.88555	0.985042
0.0610771	6.8873	0.984759
0.0612391	6.88904	0.984475
0.0614013	6.89076	0.98419
0.0615638	6.89248	0.983905
0.0617264	6.89418	0.983619
0.0618893	6.89587	0.983332
0.0620524	6.89755	0.983045
0.0622157	6.89922	0.982757
0.0623793	6.90088	0.982469
0.062543	6.90253	0.98218
0.062707	6.90417	0.98189
0.0628712	6.90579	0.9816
0.0630356	6.90741	0.981309
0.0632003	6.90901	0.981018
0.0633651	6.9106	0.980726
0.0635302	6.91218	0.980433
0.0636955	6.91375	0.98014
0.063861	6.91531	0.979846
0.0640268	6.91685	0.979551
0.0641927	6.91839	0.979256
0.0643589	6.91991	0.978961
0.0645253	6.92142	0.978664
0.064692	6.92292	0.978367
0.0648588	6.92441	0.97807
0.0650259	6.92589	0.977771
0.0651932	6.92736	0.977473
0.0653607	6.92881	0.977173
0.0655284	6.93025	0.976873
0.0656964	6.93168	0.976572
0.0658645	6.9331	0.976271
0.0660329	6.93451	0.975969
0.0662015	6.93591	0.975666
0.0663704	6.93729	0.975363
0.0665394	6.93866	0.975059
0.0667087	6.94002	0.974755
0.0668782	6.94137	0.97445
0.0670479	6.94271	0.974144
0.0672179	6.94403	0.973837
0.067388	6.94534	0.97353
0.0675584	6.94665	0.973223
0.067729	6.94793	0.972914
0.0678998	6.94921	0.972605
0.0680709	6.95048	0.972296
0.0682421	6.95173	0.971985
0.0684136	6.95297	0.971674
0.0685853	6.9542	0.971363
0.0687573	6.95542	0.971051
0.0689294	6.95662	0.970738
0.0691018	6.95781	0.970424
0.0692744	6.959	0.97011
0.0694472	6.96016	0.969795
0.0696202	6.96132	0.969479
0.0697935	6.96246	0.969163
0.069967	6.9636	0.968846
0.0701407	6.96471	0.968529
0.0703146	6.96582	0.968211
0.0704887	6.96692	0.967892
0.0706631	6.968	0.967573
0.0708377	6.96907	0.967252
0.0710125	6.97013	0.966932
0.0711875	6.97117	0.96661
0.0713628	6.9722	0.966288
0.0715382	6.97322	0.965965
0.0717139	6.97423	0.965642
0.0718899	6.97523	0.965317
0.072066	6.97621	0.964993
0.0722423	6.97718	0.964667
0.0724189	6.97814	0.964341
0.0725957	6.97908	0.964014
0.0727728	6.98002	0.963687
0.07295	6.98094	0.963358
0.0731275	6.98184	0.963029
0.0733052	6.98274	0.9627
0.0734831	6.98362	0.96237
0.0736612	6.98449	0.962039
0.0738396	6.98535	0.961707
0.0740182	6.98619	0.961375
0.074197	6.98702	0.961042
0.074376	6.98784	0.960708
0.0745552	6.98864	0.960374
0.0747347	6.98944	0.960039
0.0749144	6.99021	0.959703
0.0750943	6.99098	0.959367
0.0752744	6.99173	0.95903
0.0754548	6.99247	0.958692
0.0756354	6.9932	0.958353
0.0758162	6.99392	0.958014
0.0759972	6.99462	0.957674
0.0761785	6.99531	0.957334
0.0763599	6.99598	0.956992
0.0765416	6.99665	0.95665
0.0767235	6.99729	0.956308
0.0769057	6.99793	0.955964
0.077088	6.99855	0.95562
0.0772706	6.99916	0.955275
0.0774534	6.99976	0.95493
0.0776365	7.00034	0.954584
0.0778197	7.00091	0.954237
0.0780032	7.00147	0.953889
0.0781869	7.00201	0.953541
0.0783708	7.00255	0.953192
0.0785549	7.00306	0.952842
0.0787393	7.00357	0.952492
0.0789239	7.00406	0.952141
0.0791087	7.00453	0.951789
