u	GluePotFac	MesonPotFac
4.811	3.60881e-56	1.97066e-30
4.821	2.07089e-56	1.47669e-30
4.831	1.15717e-56	1.10453e-30
4.841	6.55124e-57	8.26158e-31
4.851	3.73005e-57	6.18066e-31
4.861	2.07089e-57	4.61375e-31
4.871	1.18478e-57	3.44877e-31
4.881	6.56151e-58	2.57226e-31
4.891	3.70649e-58	1.9193e-31
4.901	2.08958e-58	1.43178e-31
4.911	1.158e-58	1.06618e-31
4.921	6.607e-59	7.95045e-32
4.931	3.62433e-59	5.91271e-32
4.941	2.04419e-59	4.40131e-32
4.951	1.13971e-59	3.27373e-32
4.961	6.31186e-60	2.43204e-32
4.971	3.59175e-60	1.80923e-32
4.981	1.95093e-60	1.34158e-32
4.991	1.09924e-60	9.96329e-33
5.001	6.05503e-61	7.38865e-33
5.011	3.35461e-61	5.4764e-33
5.021	1.8915e-61	4.06282e-33
5.031	1.02385e-61	3.00493e-33
5.041	5.76441e-62	2.22654e-33
5.051	3.13515e-62	1.64614e-33
5.061	1.739e-62	1.2174e-33
5.071	9.65839e-63	9.00372e-34
5.081	5.24107e-63	6.64454e-34
5.091	2.94816e-63	4.9123e-34
5.101	1.58304e-63	3.62061e-34
5.111	8.79502e-64	2.67183e-34
5.121	4.80669e-64	1.96978e-34
5.131	2.61805e-64	1.45057e-34
5.141	1.47028e-64	1.07e-34
5.151	7.80009e-65	7.86209e-35
5.161	4.3403e-65	5.78958e-35
5.171	2.33347e-65	4.25451e-35
5.181	1.27662e-65	3.1267e-35
5.191	7.0286e-66	2.29878e-35
5.201	3.75271e-66	1.68566e-35
5.211	2.09002e-66	1.2387e-35
5.221	1.10602e-66	9.07303e-36
5.231	6.07806e-67	6.65473e-36
5.241	3.2785e-67	4.87606e-36
5.251	1.76374e-67	3.56869e-36
5.261	9.79567e-68	2.61654e-36
5.271	5.12258e-68	1.91057e-36
5.281	2.82542e-68	1.3986e-36
5.291	1.49401e-68	1.02127e-36
5.301	8.1e-69	7.46077e-37
5.311	4.3882e-69	5.45085e-37
5.321	2.31983e-69	3.97299e-37
5.331	1.28207e-69	2.90265e-37
5.341	6.65872e-70	2.11228e-37
5.351	3.63482e-70	1.54034e-37
5.361	1.9218e-70	1.12131e-37
5.371	1.02755e-70	8.15921e-38
5.381	5.59163e-71	5.94373e-38
5.391	2.90503e-71	4.31466e-38
5.401	1.59321e-71	3.14071e-38
5.411	8.24055e-72	2.27807e-38
5.421	4.45144e-72	1.65493e-38
5.431	2.35295e-72	1.20099e-38
5.441	1.24108e-72	8.70486e-39
5.451	6.77816e-73	6.32233e-39
5.461	3.46335e-73	4.5712e-39
5.471	1.88502e-73	3.31535e-39
5.481	9.70633e-74	2.39682e-39
5.491	5.19106e-74	1.73469e-39
5.501	2.74049e-74	1.25489e-39
5.511	1.42729e-74	9.06067e-40
5.521	7.79537e-75	6.55989e-40
5.531	3.93056e-75	4.72498e-40
5.541	2.12416e-75	3.41463e-40
5.551	1.08781e-75	2.4603e-40
5.561	5.76573e-76	1.77412e-40
5.571	3.03488e-76	1.27923e-40
5.581	1.56313e-76	9.20195e-41
5.591	8.49244e-77	6.63926e-41
5.601	4.24617e-77	4.76528e-41
5.611	2.28052e-77	3.43171e-41
5.621	1.15972e-77	2.46407e-41
5.631	6.10105e-78	1.77053e-41
5.641	3.19435e-78	1.27233e-41
5.651	1.63045e-78	9.11919e-42
5.661	8.81655e-79	6.55737e-42
5.671	4.36658e-79	4.68952e-42
5.681	2.33344e-79	3.36567e-42
5.691	1.176e-79	2.40804e-42
5.701	6.15225e-80	1.72432e-42
5.711	3.19489e-80	1.23477e-42
5.721	1.62017e-80	8.81916e-43
5.731	8.72521e-81	6.32075e-43
5.741	4.27533e-81	4.50357e-43
5.751	2.27626e-81	3.22158e-43
5.761	1.13442e-81	2.29642e-43
5.771	5.91422e-82	1.63897e-43
5.781	3.03643e-82	1.16934e-43
5.791	1.53432e-82	8.32403e-44
5.801	8.21573e-83	5.94599e-44
5.811	3.98698e-83	4.22099e-44
5.821	2.11768e-83	3.00985e-44
5.831	1.04136e-83	2.13727e-44
5.841	5.4222e-84	1.52056e-44
5.851	2.74306e-84	1.08069e-44
5.861	1.38544e-84	7.66864e-45
5.871	7.30454e-85	5.45689e-45
5.881	3.54337e-85	3.86138e-45
5.891	1.87955e-85	2.74498e-45
5.901	9.10262e-86	1.94145e-45
5.911	4.7431e-86	1.37709e-45
5.921	2.35694e-86	9.74778e-46
5.931	1.19354e-86	6.89649e-46
5.941	6.16841e-87	4.88761e-46
5.951	3.00342e-87	3.44819e-46
5.961	1.5919e-87	2.44396e-46
5.971	7.58346e-88	1.72149e-46
5.981	3.96041e-88	1.21756e-46
5.991	1.92816e-88	8.58237e-47
6.001	9.81595e-89	6.05496e-47
6.011	4.95243e-89	4.27293e-47
6.021	2.43009e-89	3.00615e-47
6.031	1.28678e-89	2.12446e-47
6.041	6.02834e-90	1.4902e-47
6.051	3.15754e-90	1.05107e-47
6.061	1.50388e-90	7.37664e-48
6.071	7.71121e-91	5.19058e-48
6.081	3.78596e-91	3.64657e-48
6.091	1.87853e-91	2.55891e-48
6.101	9.64333e-92	1.80027e-48
6.111	4.57826e-92	1.25952e-48
6.121	2.40406e-92	8.85989e-49
6.131	1.12012e-92	6.19043e-49
6.141	5.78863e-93	4.345e-49
6.151	2.76118e-93	3.03835e-49
6.161	1.38843e-93	2.12705e-49
6.171	6.87998e-94	1.4893e-49
6.181	3.32574e-94	1.03956e-49
6.191	1.73626e-94	7.29049e-50
6.201	7.98074e-95	5.07295e-50
6.211	4.1527e-95	3.55201e-50
6.221	1.92552e-95	2.47204e-50
6.231	9.81574e-96	1.72675e-50
6.241	4.68779e-96	1.20301e-50
6.251	2.31287e-96	8.37984e-51
6.261	1.155e-96	5.84682e-51
6.271	5.44749e-97	4.06019e-51
6.281	2.84613e-97	2.83597e-51
6.291	1.28678e-97	1.96433e-51
6.301	6.63743e-98	1.36916e-51
6.311	3.05966e-98	9.49031e-52
6.321	1.54045e-98	6.59806e-52
6.331	7.34925e-99	4.57908e-52
6.341	3.56576e-99	3.17427e-52
6.351	1.78806e-99	2.20659e-52
6.361	8.25555e-100	1.52472e-52
6.371	4.2904e-100	1.06042e-52
6.381	1.91831e-100	7.31317e-53
6.391	9.82312e-101	5.07497e-53
6.401	4.49048e-101	3.50293e-53
6.411	2.23864e-101	2.42441e-53
6.421	1.06265e-101	1.6757e-53
6.431	5.0895e-102	1.15626e-53
6.441	2.54871e-102	8.006e-54
6.451	1.15765e-102	5.50592e-54
6.461	5.991e-103	3.81339e-54
6.471	2.64363e-103	2.61807e-54
6.481	1.34696e-103	1.80915e-54
6.491	6.08388e-104	1.24322e-54
6.501	3.01425e-104	8.56766e-55
6.511	1.41597e-104	5.89606e-55
6.521	6.7286e-105	4.05066e-55
6.531	3.34138e-105	2.79276e-55
6.541	1.50258e-105	1.91214e-55
6.551	7.75403e-106	1.31905e-55
6.561	3.36837e-106	9.01343e-56
6.571	1.71236e-106	6.20359e-56
6.581	7.6089e-107	4.24305e-56
6.591	3.76283e-107	2.91236e-56
6.601	1.73827e-107	1.99488e-56
6.611	8.245e-108	1.36496e-56
6.621	4.02707e-108	9.36739e-57
6.631	1.80642e-108	6.38733e-57
6.641	9.307e-109	4.38927e-57
6.651	3.97071e-109	2.98464e-57
6.661	2.01947e-109	2.04645e-57
6.671	8.78994e-110	1.39277e-57
6.681	4.35824e-110	9.52403e-58
6.691	1.967e-110	6.49105e-58
6.701	9.37254e-111	4.42489e-58
6.711	4.46316e-111	3.02148e-58
6.721	2.01364e-111	2.05257e-58
6.731	1.02837e-111	1.40473e-58
6.741	4.3359e-112	9.50725e-59
6.751	2.2106e-112	6.49555e-59
6.761	9.3922e-113	4.39764e-59
6.771	4.68693e-113	2.99681e-59
6.781	2.05462e-113	2.03154e-59
6.791	9.89378e-114	1.38022e-59
6.801	4.55468e-114	9.37349e-60
6.811	2.08405e-114	6.34646e-60
6.821	1.02539e-114	4.31971e-60
6.831	4.3934e-115	2.91381e-60
6.841	2.24678e-115	1.98403e-60
6.851	9.30202e-116	1.33592e-60
