Q2:	1.6

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.00186845	0.999971	-0.0204703	1.0002
0.00189679	0.99997	-0.0206573	1.00021
0.00192535	0.99997	-0.0208456	1.00021
0.00195413	0.999969	-0.0210351	1.00021
0.00198313	0.999969	-0.0212258	1.00022
0.00201234	0.999968	-0.0214177	1.00022
0.00204178	0.999967	-0.0216108	1.00023
0.00207143	0.999967	-0.0218051	1.00023
0.00210131	0.999966	-0.0220006	1.00023
0.0021314	0.999965	-0.0221972	1.00024
0.00216171	0.999964	-0.0223951	1.00024
0.00219224	0.999964	-0.0225941	1.00025
0.002223	0.999963	-0.0227943	1.00025
0.00225397	0.999962	-0.0229957	1.00025
0.00228515	0.999961	-0.0231982	1.00026
0.00231656	0.999961	-0.0234019	1.00026
0.00234819	0.99996	-0.0236067	1.00027
0.00238004	0.999959	-0.0238126	1.00027
0.0024121	0.999958	-0.0240197	1.00028
0.00244439	0.999957	-0.024228	1.00028
0.00247689	0.999957	-0.0244373	1.00029
0.00250961	0.999956	-0.0246478	1.00029
0.00254256	0.999955	-0.0248593	1.0003
0.00257572	0.999954	-0.025072	1.0003
0.0026091	0.999953	-0.0252858	1.00031
0.0026427	0.999952	-0.0255007	1.00031
0.00267651	0.999951	-0.0257167	1.00032
0.00271055	0.999951	-0.0259338	1.00032
0.00274481	0.99995	-0.0261519	1.00033
0.00277928	0.999949	-0.0263711	1.00033
0.00281398	0.999948	-0.0265914	1.00034
0.00284889	0.999947	-0.0268127	1.00034
0.00288402	0.999946	-0.0270351	1.00035
0.00291937	0.999945	-0.0272586	1.00035
0.00295494	0.999944	-0.0274831	1.00036
0.00299073	0.999943	-0.0277086	1.00037
0.00302674	0.999942	-0.0279352	1.00037
0.00306297	0.999941	-0.0281628	1.00038
0.00309942	0.99994	-0.0283914	1.00038
0.00313608	0.999939	-0.0286211	1.00039
0.00317297	0.999937	-0.0288517	1.0004
0.00321007	0.999936	-0.0290834	1.0004
0.00324739	0.999935	-0.029316	1.00041
0.00328494	0.999934	-0.0295497	1.00041
0.0033227	0.999933	-0.0297843	1.00042
0.00336068	0.999932	-0.0300199	1.00043
0.00339888	0.999931	-0.0302565	1.00043
0.0034373	0.999929	-0.030494	1.00044
0.00347594	0.999928	-0.0307326	1.00045
