Q2:	1.65477

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.0012054	0.999982	-0.0166897	1.00013
0.00122796	0.999982	-0.0168465	1.00013
0.00125075	0.999981	-0.0170047	1.00014
0.00127376	0.999981	-0.0171643	1.00014
0.00129699	0.99998	-0.0173253	1.00014
0.00132044	0.99998	-0.0174877	1.00014
0.00134411	0.999979	-0.0176515	1.00015
0.00136801	0.999979	-0.0178166	1.00015
0.00139213	0.999978	-0.0179831	1.00015
0.00141647	0.999978	-0.018151	1.00016
0.00144103	0.999977	-0.0183202	1.00016
0.00146581	0.999977	-0.0184907	1.00016
0.00149082	0.999976	-0.0186626	1.00016
0.00151604	0.999976	-0.0188359	1.00017
0.00154148	0.999975	-0.0190105	1.00017
0.00156715	0.999975	-0.0191864	1.00017
0.00159303	0.999974	-0.0193636	1.00018
0.00161914	0.999974	-0.0195422	1.00018
0.00164547	0.999973	-0.019722	1.00018
0.00167201	0.999973	-0.0199032	1.00018
0.00169878	0.999972	-0.0200857	1.00019
0.00172576	0.999971	-0.0202694	1.00019
0.00175297	0.999971	-0.0204545	1.00019
0.0017804	0.99997	-0.0206408	1.0002
0.00180804	0.99997	-0.0208284	1.0002
0.00183591	0.999969	-0.0210173	1.0002
0.00186399	0.999968	-0.0212075	1.00021
0.00189229	0.999968	-0.0213989	1.00021
0.00192082	0.999967	-0.0215916	1.00022
0.00194956	0.999966	-0.0217855	1.00022
0.00197852	0.999966	-0.0219807	1.00022
0.00200771	0.999965	-0.0221772	1.00023
0.00203711	0.999964	-0.0223748	1.00023
0.00206673	0.999964	-0.0225737	1.00024
0.00209657	0.999963	-0.0227738	1.00024
0.00212663	0.999962	-0.0229752	1.00024
0.0021569	0.999961	-0.0231777	1.00025
0.0021874	0.999961	-0.0233815	1.00025
0.00221812	0.99996	-0.0235865	1.00026
0.00224905	0.999959	-0.0237927	1.00026
0.00228021	0.999958	-0.024	1.00026
0.00231158	0.999958	-0.0242086	1.00027
0.00234317	0.999957	-0.0244183	1.00027
0.00237499	0.999956	-0.0246293	1.00028
0.00240702	0.999955	-0.0248414	1.00028
0.00243927	0.999954	-0.0250546	1.00029
0.00247174	0.999953	-0.025269	1.00029
0.00250443	0.999953	-0.0254846	1.0003
0.00253733	0.999952	-0.0257013	1.0003
0.00257046	0.999951	-0.0259192	1.00031
0.00260381	0.99995	-0.0261382	1.00031
0.00263737	0.999949	-0.0263584	1.00032
0.00267115	0.999948	-0.0265796	1.00032
0.00270516	0.999947	-0.026802	1.00033
0.00273938	0.999946	-0.0270255	1.00033
0.00277382	0.999945	-0.0272501	1.00034
0.00280848	0.999944	-0.0274759	1.00034
0.00284336	0.999943	-0.0277027	1.00035
0.00287846	0.999942	-0.0279306	1.00036
0.00291377	0.999941	-0.0281596	1.00036
0.00294931	0.99994	-0.0283897	1.00037
0.00298507	0.999939	-0.0286208	1.00037
0.00302104	0.999938	-0.0288531	1.00038
0.00305723	0.999937	-0.0290863	1.00038
0.00309365	0.999936	-0.0293207	1.00039
0.00313028	0.999935	-0.0295561	1.0004
0.00316713	0.999934	-0.0297925	1.0004
0.0032042	0.999932	-0.03003	1.00041
0.00324149	0.999931	-0.0302686	1.00042
0.00327899	0.99993	-0.0305081	1.00042
0.00331672	0.999929	-0.0307487	1.00043
0.00335467	0.999928	-0.0309903	1.00044
0.00339283	0.999926	-0.0312329	1.00044
0.00343122	0.999925	-0.0314765	1.00045
0.00346982	0.999924	-0.0317211	1.00046
0.00350865	0.999923	-0.0319667	1.00046
0.00354769	0.999921	-0.0322132	1.00047
0.00358695	0.99992	-0.0324608	1.00048
0.00362643	0.999919	-0.0327093	1.00048
0.00366613	0.999918	-0.0329588	1.00049
0.00370605	0.999916	-0.0332093	1.0005
0.00374619	0.999915	-0.0334607	1.00051
0.00378654	0.999913	-0.0337131	1.00051
0.00382712	0.999912	-0.0339664	1.00052
0.00386792	0.999911	-0.0342206	1.00053
0.00390893	0.999909	-0.0344758	1.00054
0.00395017	0.999908	-0.0347319	1.00054
0.00399162	0.999906	-0.0349889	1.00055
0.00403329	0.999905	-0.0352468	1.00056
0.00407519	0.999903	-0.0355056	1.00057
0.0041173	0.999902	-0.0357653	1.00058
0.00415963	0.9999	-0.0360259	1.00058
0.00420218	0.999899	-0.0362874	1.00059
0.00424495	0.999897	-0.0365498	1.0006
0.00428794	0.999896	-0.0368131	1.00061
0.00433115	0.999894	-0.0370772	1.00062
0.00437458	0.999892	-0.0373421	1.00063
0.00441823	0.999891	-0.037608	1.00064
0.00446209	0.999889	-0.0378746	1.00064
0.00450618	0.999887	-0.0381421	1.00065
0.00455049	0.999886	-0.0384105	1.00066
0.00459501	0.999884	-0.0386797	1.00067
0.00463976	0.999882	-0.0389496	1.00068
0.00468472	0.99988	-0.0392204	1.00069
0.0047299	0.999879	-0.0394921	1.0007
0.00477531	0.999877	-0.0397645	1.00071
0.00482093	0.999875	-0.0400377	1.00072
0.00486677	0.999873	-0.0403116	1.00073
0.00491284	0.999871	-0.0405864	1.00074
0.00495912	0.999869	-0.040862	1.00075
0.00500562	0.999867	-0.0411383	1.00076
0.00505234	0.999866	-0.0414153	1.00077
0.00509928	0.999864	-0.0416931	1.00078
0.00514644	0.999862	-0.0419717	1.00079
0.00519382	0.99986	-0.042251	1.0008
0.00524142	0.999858	-0.0425311	1.00081
