Q2:	5

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.00957733	0.998902	-0.198537	1.00569
0.00964214	0.998889	-0.19943	1.00573
0.00970717	0.998876	-0.200322	1.00578
0.00977241	0.998863	-0.201214	1.00582
0.00983788	0.99885	-0.202105	1.00587
0.00990357	0.998836	-0.202996	1.00592
0.00996948	0.998823	-0.203886	1.00596
0.0100356	0.99881	-0.204775	1.00601
0.010102	0.998796	-0.205663	1.00605
0.0101685	0.998782	-0.206551	1.0061
0.0102353	0.998768	-0.207439	1.00614
0.0103023	0.998754	-0.208325	1.00619
0.0103696	0.99874	-0.209211	1.00624
0.010437	0.998726	-0.210096	1.00628
0.0105047	0.998712	-0.210981	1.00633
0.0105726	0.998698	-0.211865	1.00637
0.0106407	0.998683	-0.212748	1.00642
0.010709	0.998669	-0.21363	1.00647
0.0107776	0.998654	-0.214512	1.00651
0.0108464	0.998639	-0.215392	1.00656
0.0109154	0.998624	-0.216273	1.0066
0.0109846	0.998609	-0.217152	1.00665
0.011054	0.998594	-0.21803	1.0067
0.0111237	0.998579	-0.218908	1.00674
0.0111936	0.998563	-0.219785	1.00679
0.0112637	0.998548	-0.220662	1.00684
0.011334	0.998532	-0.221537	1.00688
0.0114046	0.998517	-0.222412	1.00693
0.0114753	0.998501	-0.223286	1.00698
0.0115463	0.998485	-0.224159	1.00702
0.0116175	0.998469	-0.225031	1.00707
0.011689	0.998453	-0.225903	1.00711
0.0117606	0.998436	-0.226774	1.00716
0.0118325	0.99842	-0.227644	1.00721
0.0119046	0.998403	-0.228513	1.00725
0.0119769	0.998387	-0.229381	1.0073
0.0120494	0.99837	-0.230248	1.00735
0.0121222	0.998353	-0.231115	1.00739
0.0121952	0.998336	-0.231981	1.00744
0.0122684	0.998319	-0.232846	1.00748
0.0123418	0.998302	-0.23371	1.00753
0.0124154	0.998285	-0.234573	1.00758
0.0124893	0.998267	-0.235436	1.00762
0.0125634	0.99825	-0.236298	1.00767
0.0126377	0.998232	-0.237158	1.00772
0.0127122	0.998214	-0.238019	1.00776
0.0127869	0.998196	-0.238878	1.00781
0.0128619	0.998178	-0.239736	1.00785
0.0129371	0.99816	-0.240594	1.0079
0.0130125	0.998142	-0.24145	1.00795
0.0130881	0.998124	-0.242306	1.00799
0.013164	0.998105	-0.243161	1.00804
0.0132401	0.998087	-0.244015	1.00809
0.0133164	0.998068	-0.244869	1.00813
0.0133929	0.998049	-0.245721	1.00818
0.0134696	0.99803	-0.246573	1.00822
0.0135466	0.998011	-0.247424	1.00827
0.0136238	0.997992	-0.248274	1.00832
0.0137012	0.997972	-0.249123	1.00836
0.0137788	0.997953	-0.249972	1.00841
0.0138566	0.997933	-0.250819	1.00845
0.0139347	0.997914	-0.251666	1.0085
0.014013	0.997894	-0.252512	1.00854
0.0140915	0.997874	-0.253357	1.00859
0.0141702	0.997854	-0.254202	1.00864
0.0142492	0.997834	-0.255045	1.00868
0.0143284	0.997813	-0.255888	1.00873
0.0144078	0.997793	-0.25673	1.00877
0.0144874	0.997772	-0.257571	1.00882
0.0145672	0.997752	-0.258411	1.00886
0.0146473	0.997731	-0.259251	1.00891
0.0147276	0.99771	-0.26009	1.00895
0.0148081	0.997689	-0.260928	1.009
0.0148888	0.997667	-0.261765	1.00904
0.0149697	0.997646	-0.262602	1.00909
0.0150509	0.997625	-0.263437	1.00913
0.0151323	0.997603	-0.264272	1.00918
0.0152139	0.997581	-0.265106	1.00922
0.0152957	0.99756	-0.26594	1.00927
0.0153778	0.997538	-0.266773	1.00931
0.0154601	0.997516	-0.267605	1.00936
0.0155426	0.997493	-0.268436	1.0094
0.0156253	0.997471	-0.269266	1.00945
0.0157082	0.997449	-0.270096	1.00949
0.0157914	0.997426	-0.270925	1.00954
0.0158748	0.997403	-0.271753	1.00958
0.0159584	0.99738	-0.272581	1.00963
0.0160422	0.997357	-0.273408	1.00967
0.0161263	0.997334	-0.274234	1.00972
0.0162105	0.997311	-0.275059	1.00976
0.016295	0.997288	-0.275884	1.00981
0.0163798	0.997264	-0.276708	1.00985
0.0164647	0.99724	-0.277532	1.00989
0.0165499	0.997217	-0.278354	1.00994
0.0166352	0.997193	-0.279176	1.00998
0.0167208	0.997169	-0.279998	1.01003
0.0168067	0.997145	-0.280819	1.01007
0.0168927	0.99712	-0.281639	1.01011
0.016979	0.997096	-0.282458	1.01016
