Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.00835136	0.999698	-0.0587099	1.00112
0.00841047	0.999694	-0.0590024	1.00113
0.0084698	0.999691	-0.0592952	1.00114
0.00852934	0.999687	-0.0595884	1.00115
0.00858908	0.999684	-0.0598818	1.00116
0.00864904	0.99968	-0.0601756	1.00117
0.00870921	0.999677	-0.0604697	1.00118
0.00876959	0.999673	-0.0607641	1.00119
0.00883018	0.999669	-0.0610588	1.0012
0.00889099	0.999666	-0.0613537	1.00121
0.008952	0.999662	-0.061649	1.00122
0.00901322	0.999658	-0.0619445	1.00124
0.00907465	0.999655	-0.0622403	1.00125
0.0091363	0.999651	-0.0625363	1.00126
0.00919816	0.999647	-0.0628327	1.00127
0.00926022	0.999643	-0.0631292	1.00128
0.0093225	0.999639	-0.063426	1.00129
0.00938499	0.999635	-0.0637231	1.0013
0.00944769	0.999631	-0.0640204	1.00131
0.0095106	0.999627	-0.0643179	1.00132
0.00957372	0.999623	-0.0646156	1.00133
0.00963705	0.999619	-0.0649136	1.00135
0.00970059	0.999615	-0.0652118	1.00136
0.00976434	0.999611	-0.0655101	1.00137
0.00982831	0.999607	-0.0658087	1.00138
0.00989248	0.999603	-0.0661075	1.00139
0.00995687	0.999599	-0.0664064	1.0014
0.0100215	0.999595	-0.0667055	1.00141
0.0100863	0.99959	-0.0670048	1.00143
0.0101513	0.999586	-0.0673043	1.00144
0.0102165	0.999582	-0.067604	1.00145
0.010282	0.999577	-0.0679038	1.00146
0.0103476	0.999573	-0.0682037	1.00147
0.0104135	0.999568	-0.0685038	1.00148
0.0104796	0.999564	-0.0688041	1.0015
0.0105458	0.99956	-0.0691044	1.00151
0.0106123	0.999555	-0.0694049	1.00152
0.010679	0.99955	-0.0697056	1.00153
0.010746	0.999546	-0.0700063	1.00154
0.0108131	0.999541	-0.0703072	1.00155
0.0108804	0.999537	-0.0706081	1.00157
0.010948	0.999532	-0.0709092	1.00158
0.0110158	0.999527	-0.0712104	1.00159
0.0110837	0.999522	-0.0715116	1.0016
0.0111519	0.999518	-0.071813	1.00161
0.0112203	0.999513	-0.0721144	1.00163
0.0112889	0.999508	-0.0724159	1.00164
0.0113577	0.999503	-0.0727174	1.00165
0.0114268	0.999498	-0.073019	1.00166
0.011496	0.999493	-0.0733207	1.00167
0.0115655	0.999488	-0.0736224	1.00169
0.0116351	0.999483	-0.0739242	1.0017
0.011705	0.999478	-0.074226	1.00171
0.0117751	0.999473	-0.0745279	1.00172
0.0118454	0.999468	-0.0748297	1.00174
0.0119159	0.999463	-0.0751316	1.00175
0.0119866	0.999457	-0.0754335	1.00176
0.0120576	0.999452	-0.0757355	1.00177
0.0121287	0.999447	-0.0760374	1.00178
0.0122001	0.999441	-0.0763393	1.0018
0.0122716	0.999436	-0.0766413	1.00181
0.0123434	0.999431	-0.0769432	1.00182
0.0124154	0.999425	-0.0772451	1.00183
0.0124876	0.99942	-0.077547	1.00185
0.01256	0.999414	-0.0778488	1.00186
0.0126326	0.999409	-0.0781507	1.00187
0.0127055	0.999403	-0.0784524	1.00188
0.0127785	0.999397	-0.0787542	1.0019
0.0128518	0.999392	-0.0790559	1.00191
0.0129253	0.999386	-0.0793576	1.00192
